,,resale_price,resale_price,resale_price
,,mean,min,max
town,flat_type,,,
ANG MO KIO,2 ROOM,203333.33333333334,178000.0,250000.0
ANG MO KIO,3 ROOM,288837.0941768512,174000.0,519000.0
ANG MO KIO,4 ROOM,467219.2391930836,275000.0,782000.0
ANG MO KIO,5 ROOM,674743.5318627451,420000.0,970888.0
ANG MO KIO,EXECUTIVE,811086.75,623000.0,1030000.0
BEDOK,2 ROOM,214684.90566037735,180000.0,250000.0
BEDOK,3 ROOM,287751.0791044776,200000.0,515000.0
BEDOK,4 ROOM,431155.23456790124,300000.0,750000.0
BEDOK,5 ROOM,573143.0691588785,380000.0,875000.0
BEDOK,EXECUTIVE,712540.8193548387,520000.0,928000.0
BISHAN,3 ROOM,356581.69696969696,210000.0,460000.0
BISHAN,4 ROOM,554199.8543307086,328000.0,980000.0
BISHAN,5 ROOM,758469.2345679012,473000.0,1082000.0
BISHAN,EXECUTIVE,891000.4814814815,660000.0,1145000.0
BISHAN,MULTI-GENERATION,915972.0,840000.0,988888.0
BUKIT BATOK,3 ROOM,258172.0638002774,208000.0,350000.0
BUKIT BATOK,4 ROOM,370454.92183908046,270888.0,590000.0
BUKIT BATOK,5 ROOM,514014.21515151515,360000.0,780000.0
BUKIT BATOK,EXECUTIVE,608397.952764977,490000.0,890000.0
BUKIT MERAH,1 ROOM,178438.14285714287,157000.0,232000.0
BUKIT MERAH,2 ROOM,240083.95061728396,170000.0,418000.0
BUKIT MERAH,3 ROOM,371651.04336399474,200000.0,723000.0
BUKIT MERAH,4 ROOM,649142.2034739454,320000.0,1088000.0
BUKIT MERAH,5 ROOM,770497.7153846154,500000.0,1200000.0
BUKIT PANJANG,2 ROOM,230963.31914893616,200000.0,265000.0
BUKIT PANJANG,3 ROOM,296726.17770034843,238000.0,350000.0
BUKIT PANJANG,4 ROOM,391821.11737523106,235000.0,600000.0
BUKIT PANJANG,5 ROOM,486822.9258241758,340000.0,700000.0
BUKIT PANJANG,EXECUTIVE,592007.4655870445,400000.0,800000.0
BUKIT TIMAH,3 ROOM,419120.3333333333,375000.0,495000.0
BUKIT TIMAH,4 ROOM,631218.8421052631,495000.0,740000.0
BUKIT TIMAH,5 ROOM,819854.4761904762,720000.0,900000.0
BUKIT TIMAH,EXECUTIVE,960905.1764705882,860000.0,1058000.0
CENTRAL AREA,2 ROOM,234312.5,200000.0,318000.0
CENTRAL AREA,3 ROOM,407854.02173913043,292000.0,560000.0
CENTRAL AREA,4 ROOM,735222.4136125655,400000.0,1186888.0
CENTRAL AREA,5 ROOM,947675.2380952381,560000.0,1232000.0
CHOA CHU KANG,2 ROOM,224408.33333333334,200000.0,240000.0
CHOA CHU KANG,3 ROOM,283098.8287671233,225000.0,338000.0
CHOA CHU KANG,4 ROOM,345691.6122270742,265000.0,478000.0
CHOA CHU KANG,5 ROOM,414784.74275362317,307000.0,602000.0
CHOA CHU KANG,EXECUTIVE,529120.4805194805,390000.0,900000.0
CLEMENTI,2 ROOM,297833.3333333333,205000.0,380000.0
CLEMENTI,3 ROOM,324625.6,222000.0,623888.0
CLEMENTI,4 ROOM,558664.2746478873,300000.0,950000.0
CLEMENTI,5 ROOM,706091.4727272728,465000.0,1068000.0
CLEMENTI,EXECUTIVE,816676.2307692308,690000.0,925000.0
GEYLANG,2 ROOM,194740.38461538462,150000.0,240000.0
GEYLANG,3 ROOM,278227.42736486485,172000.0,490000.0
GEYLANG,4 ROOM,515062.3698630137,310000.0,795000.0
GEYLANG,5 ROOM,682813.6687116565,420000.0,998000.0
GEYLANG,EXECUTIVE,726814.8,585000.0,900000.0
HOUGANG,2 ROOM,230547.8260869565,200000.0,262000.0
HOUGANG,3 ROOM,287244.1265377856,195000.0,478000.0
HOUGANG,4 ROOM,394851.0763422819,280000.0,700000.0
HOUGANG,5 ROOM,521328.39087947883,365000.0,888888.0
HOUGANG,EXECUTIVE,684014.9724770642,500000.0,1000000.0
JURONG EAST,2 ROOM,240222.19444444444,205000.0,268000.0
JURONG EAST,3 ROOM,279072.93838862557,205000.0,450000.0
JURONG EAST,4 ROOM,396493.04419889505,260000.0,550000.0
JURONG EAST,5 ROOM,516378.68529411766,300000.0,698000.0
JURONG EAST,EXECUTIVE,661625.1746031746,495000.0,880000.0
JURONG WEST,2 ROOM,217492.57142857142,175000.0,255000.0
JURONG WEST,3 ROOM,255266.88303341903,175000.0,475000.0
